Lex_Function	Keyword	Value
Adv1	(cette) fin	à 
Magn	[le] moral	élevé
Sloc	[X] se passer	théâtre 
Syn	_a brûle-pourpoint_	_de but en blanc_
QSyn	_à l’écart_	_à la touche_
QSyn	_à la mesure_	_à l’aune_ 
CausOper1	_à la tête_	mettre 
CausOper1	_à la tête_	placer 
Oper1	_à la tête_	être 
QSyn	_à peu près_	_aux alentours_ 
QSyn	_à peu près_	environ
QSyn	_à poil_	nu
Syn	_à propos_	_au sujet_ 
Syn	_à qui mieux-mieux_	_à l’envi_
Syn	_à tout prix_	_coûte que coûte_
Syn	_à volonté_	_à gogo_
Syn	_à volonté_	_à souhait_
Syn	_à volonté_	_à tire-larigot_
QSyn	_aller. s’en_	_prendre [A(poss(NX)] cliques et [A(poss(NX)]  claques_
Magn	_au courant_	parfaitement
Syn	_au culot_	_à l’estomac_
Magn	_avoir sommeil_	_tomber de sommeil_
QSyn	_avoir tort_	_Mal PronDAT(NX) en prend_
A1	_bain de foule_	en (plein) 
Adv1	_bain de foule_	dans 
Oper1	_bain de foule_	prendre 
Oper1	_bain de foule_	s’offrir 
CausFunc0	_bain de sang_	provoquer 
CausOper1	_bien à l’aise_	mettre 
Syn	_bon à rien_	gougnafier
Syn	_bon à rien_	goujat
Syn	_C’est le comble_	_C’est le pompon_
Syn	_ça va_	_ça baigne_
QSyn	_cacher la tête dans le sable_	_faire l’autruche_
QSyn	_cacher la tête dans le sable_	_se voiler la face_
QSyn	_casser le sucre sur le dos	_tailler un costard_ 
Real1	_ceinture de sécurité_	attacher 
Syn	_clouer le bec_	moucher
Syn	_coucher en joue_	_mettre en joue_
Func0	_coup d’État_	éclate
Func0	_coup d’État_	intervient
Oper1	_coup d’État_	déclencher 
Oper1	_coup d’œil_	jeter 
Func0	_coup de feu_	crépitent
Func0	_coup de feu_	part
Func0	_coup de feu_	retentit
Oper1	_coup de feu_	tirer 
Oper2	_coup de feu_	essuyer 
Oper1	_coup de fil_	donner 
Oper1	_coup de fil_	passer 
Oper1	_coup de main_	donner 
Oper1	_coup de poing_	envoyer 
IncepOper1	_coup de soleil_	prendre 
Syn	_coup de soleil_	_coup de bambou_
Oper1	_dans la semoule_	être 
Oper1	_dans la semoule_	nager 
Oper1	_dans la semoule_	patauger 
Oper1	_dans la semoule_	pédaler 
QSyn	_dans un cas extrême_	_au pis aller_
Real1	_date limite_	rencontrer
Syn	_date limite_	_date butoir_
QSyn	_de face_	_vent debout_
Oper1	_dernier hommage_	rendre 
Syn	_en avoir assez_	_en avoir soupé_
Oper1	_en fleur_	être 
Oper1	_en forme_	être 
QSyn	_en forme_	d’attaque
CausOper1	_en piteux équipage_	mettre 
ContOper1	_en vigueur_	demeurer 
ContOper1	_en vigueur_	rester 
IncepOper1	_en vigueur_	entrer 
Oper1	_en vigueur_	être 
Magn	_en vouloir_	à mort
Magn	_en vouloir_	mortellement
QSyn	_être mal à l’aise_	_être dans [...] petits souliers_
Magn	_faire défaut_	cruellement
Magn	_faire état_	largement
S0	_faire l’amour_	_ébats amoureux_
S1	_faire l’amour_	amant
Sloc	_faire ses besoins_	toilettes
Magn	_faux pas_	majeur
QSyn	_faux pas_	gaffe
QSyn	_faux pas_	impair
IncepOper1	_grève de la faim_	entamer 
Oper1	_grève de la faim_	faire 
S1	_grève de la faim_	_gréviste de la faim_
IncepOper1	_haut du pavé_	prendre 
Oper1	_haut du pavé_	tenir 
Syn	_la (dernière) goutte d’eau qui fait deeborder le vase_	_le brin/fétu de paille qui brise le dos du chameau_
Pred	_la même chose_	_C’est blanc bonnet et bonnet blanc_
Oper1	_le coup de pied de l’âne_	allonger 
Oper1	_le coup de pied de l’âne_	asséner 
Oper1	_le coup de pied de l’âne_	donner 
Oper2	_le coup de pied de l’âne_	recevoir 
S1	_lécher le cul_	lèche-cul
Real1	_lettres de créance_	présenter
Real1	_lettres de créance_	remettre
Real1	_main courante_	tenir 
CausOper1	_mal à l’aise_	mettre
Anti	_mal à l’aise_	_bien à l’aise_
Oper1	_mal au cœur_	avoir 
Syn	_marque distinctive_	cachet
Magn	_monter un bateau_	gros
Magn	_monter un bateau_	sacré
Anti	_par la bande_	_de front_
Syn	_parties génitales_	_bijoux de famille_
